Id,Status,Reference,Box,Quantity,Description,Comments,Link
2,🛒,IC1,TCA8418-WQFN-24-1,1,TCA8418,TCA8418RTWRs,https://www.ti.com/lit/gpn/tca8418
5,🛒,"R2, R3, R4",R_0805_2012Metric,3,4.7k,,
7,📦,J4,USB-A female SMD,1,USB_A,, https://aliexpress.com/item/32754227092.html
8,📦,J3,Raspberry Pi Zero SMD Pin Header,1,Connector-M_:RPi_GPIO,, https://www.reichelt.at/2-x-20-pin-smd-header-straight-pitch-2-54-sl-2x20g-smd2-54-p51721.html
9,🛒,AUDI,WkB960,1,WM3960,, https://statics.cirrus.eom/pubs/proDatasheet/WM8960_v4.4.pdf
10,🛒,"C1, C2, C5, C7",C_0603_1608Metric,1,10μF,,
11,🛒,"C3, C4, C6, C8",C_0603_1608Metric,1,100nF,,
12,🛒,"C14, C15",C_0603_1608Metric,1,100μF,SMD 1210 / C1210C107M4PACs,
13,🛒,"C16, C18, C24",C_0603_1608Metric,4,33pF,,
14-15,🛒,"J1, J2, J7",JST_PH,2,"*Speaker, Batt",B2B-PH-SM4-TB(LF)(SN)s,
16,📦,J5,Jack_JP328,5,JACK_328,, https://aliexpress.com/item/32798674012.html
"18-68, 99-100, 102",📦,k1-k62,SW_TP1003,1,, Button 6*6*5,https://aliexpress.com/item/32820232659.html
69,🛒,"L1, L2, L3, L4",L_0603_1608Metric,1,BLM18BD252SN1,BLM18BD252SN1Ds,
70,🛒,"Mk1, Mk2",aos3729a-t42,3,Aos3729a-t42,AOS3729A-T42-NXCs,
71,🛒,"R1, R7, R8, R9",R_0805_2012Metric,2,10R,,
73,🛒,U3,SOT-223-3,1,AP1117-33,AP1 1 17E33G-13 SOT223s,
74,❓,X1,Oscillator_SMD_ECS_2520MV,2,JPY2520 24M3.3V,Oscillator:Oscillator_SMD_ECS_2520M,💔 http://www.abracon.com/Oscillators/AS
75,🛒,"R6, R10, R20",R_0805_2012Metric,6,10k,,
78,✅,"LED1, LED2",LED_WS2812B_PLCC4,1,WS2812B_LED,,
79,🛒,R5,R_0805_2012Metric,1,300,300Rs,
80,🛒,"C34, C35",C_0603_1608Metric,1,22pF,,
81,🛒,"C39, C40, C41",C_0603_1608Metric,2,10pF,,
85,🛒,R12,R_0805_2012Metric,1,470R,,
86,🛒,R13,R_0805_2012Metric,1,5k,NO 5K. offer 4.99Ks,
87,🛒,R14,R_0805_2012Metric,2,1k,,
88,🛒,"R15, R16",R_0805_2012Metric,1,OR,,
89,🛒,U10,SOIC-20W,1,MDP2200-I-SO,MCP2200-I/SOs,
91,❓,Y1,Crystal_SMD_HC49-SD,1,12mHZ,12 MHZ,https://aliexpress.com/item/32846225923.html
92,🛒,"SW1, SW2",SW_SPDT_PCM12,1,SPST,, https://aliexpress.com/item/32885643326.html
93,🛒,D1,D_SOD-123,1,1N4001,1N4001 SIWXs,
95,🛒,Q1,SOT-23,10,S9013,,
96,🛒,R17,R_0805_2012Metric,15,1K,,
97,🛒,R18,R_0805_2012Metric,2,100K,,
98,🛒,R19,R_0805_2012Metric,10,12R,,
103X,🔗,,,1,Raspberry Pi Zero W,No TH Headers,https://www.berrybase.de/detail/index/sArticle/4215?src=raspberrypi
104X,📦,U4,9341-28-18Pins,1,ILI9341 SPI,TFT 2.8” no-touch,
105X,📦,, 128×32_OLED,1,128×32 I2C OLED,I2C,https://www.aliexpress.com/item/32861875681.html
106X,⏳,,,, LoRa E32 UART,, https://www.aliexpress.com/item/32791508935.html
107X,⏳,,,, SIM5320,GSM GPS,https://www.aliexpress.com/item/32885664207.html
108X,📦,,,,,Battery Charger,https://www.aliexpress.com/item/1005001581000751.html
